x1,x2,y
-6.71,5.54,0.0
-5.71,6.19,0.0
-4.32,4.85,0.0
-5.84,4.11,0.0
-5.81,5.11,0.0
-4.65,3.85,0.0
-5.42,2.86,0.0
-7.0,3.33,0.0
-4.1,5.8,0.0
-5.1,6.06,0.0
-6.81,4.33,0.0
-4.61,2.6,0.0
-6.16,2.21,0.0
-3.65,4.16,0.0
1.77,5.8,1.0
2.9,5.63,1.0
3.03,6.62,1.0
3.68,6.49,1.0
3.94,5.28,1.0
3.16,3.85,1.0
2.19,3.9,1.0
4.61,4.72,1.0
5.65,6.32,1.0
3.94,6.97,1.0
2.61,7.32,1.0
3.23,5.28,1.0
2.06,4.72,1.0
3.81,3.77,1.0
3.03,2.94,1.0
1.55,-3.68,2.0
0.71,-3.03,2.0
1.55,-1.82,2.0
2.61,-2.03,2.0
0.55,-1.86,2.0
-0.1,-3.72,2.0
0.94,-4.37,2.0
2.32,-4.24,2.0
2.52,-2.9,2.0
1.74,-5.02,2.0
0.13,-5.67,2.0
-0.26,-4.55,2.0
1.55,-5.32,2.0
-0.23,-2.51,2.0
-7.29,-4.03,3.0
-7.16,-5.5,3.0
-6.45,-4.07,3.0
-6.68,-2.64,3.0
-5.06,-2.6,3.0
-4.97,-4.2,3.0
-5.71,-5.24,3.0
-5.55,-3.55,3.0
-4.58,-5.11,3.0
-4.97,-6.36,3.0
-7.16,-6.75,3.0
-5.77,-6.45,3.0
-4.13,-3.59,3.0
-3.84,-4.76,3.0
-4.23,-6.32,3.0
