x1,x2,y
-8.58,3.64,0.0
-8.45,4.72,0.0
-7.74,5.84,0.0
-6.74,6.58,0.0
-5.48,7.23,0.0
-3.74,7.84,0.0
-1.32,7.97,0.0
1.26,7.53,0.0
3.71,6.36,0.0
4.97,5.45,0.0
6.58,4.24,0.0
7.74,2.16,0.0
8.39,0.26,0.0
8.35,-2.38,0.0
7.39,-3.85,0.0
6.42,-5.11,0.0
4.65,-6.75,0.0
3.39,-7.97,0.0
1.32,-8.48,0.0
-1.1,-8.83,0.0
-2.58,-8.83,0.0
-3.94,-8.79,0.0
-5.39,-8.05,0.0
-6.71,-7.4,0.0
-7.58,-6.02,0.0
-8.32,-4.42,0.0
-9.1,-2.77,0.0
-9.23,-1.82,0.0
-9.48,-0.17,0.0
-9.48,1.65,0.0
-9.32,2.94,0.0
-9.1,3.85,0.0
-7.81,4.94,0.0
-6.94,5.71,0.0
-5.52,6.32,0.0
-3.52,6.97,0.0
-2.16,7.19,0.0
-0.42,7.06,0.0
0.87,6.8,0.0
1.68,6.54,0.0
2.97,5.93,0.0
4.16,5.32,0.0
5.06,4.33,0.0
5.94,3.59,0.0
6.74,2.64,0.0
7.52,0.95,0.0
7.77,-0.52,0.0
7.71,-2.25,0.0
6.97,-3.55,0.0
5.74,-4.63,0.0
4.13,-5.84,0.0
2.68,-6.75,0.0
1.32,-7.1,0.0
0.03,-7.75,0.0
-1.13,-8.05,0.0
-2.45,-8.14,0.0
-4.26,-7.92,0.0
-5.55,-7.23,0.0
-6.48,-6.19,0.0
-7.19,-5.15,0.0
-7.71,-3.72,0.0
-8.13,-2.12,0.0
-8.39,-1.0,0.0
-8.65,0.22,0.0
-8.65,1.73,0.0
-8.55,2.77,0.0
-7.35,4.46,0.0
-6.35,5.45,0.0
-4.65,6.41,0.0
-4.35,7.32,0.0
-2.84,7.92,0.0
-0.1,7.88,0.0
-1.19,6.8,0.0
2.42,7.32,0.0
7.55,3.33,0.0
8.58,-1.17,0.0
5.71,-6.19,0.0
2.42,-7.88,0.0
-0.03,-8.57,0.0
-3.74,1.77,1.0
-3.1,1.6,1.0
-2.87,0.65,1.0
-3.03,-0.3,1.0
-3.68,-0.39,1.0
-4.58,0.48,1.0
-3.94,0.87,1.0
-4.48,1.6,1.0
-3.94,2.51,1.0
-3.16,2.68,1.0
-2.39,1.82,1.0
-2.13,0.82,1.0
-2.23,-0.22,1.0
-2.68,-0.87,1.0
-3.45,-1.26,1.0
-4.61,-1.13,1.0
-5.19,-0.56,1.0
-5.68,0.39,1.0
-5.65,1.21,1.0
-5.52,1.86,1.0
-4.94,2.34,1.0
-4.45,2.99,1.0
-3.71,3.16,1.0
-4.97,1.13,1.0
-4.19,-0.56,1.0
-3.58,-1.73,1.0
-2.48,-1.6,1.0
-1.84,-0.74,1.0
-1.45,1.13,1.0
-1.74,2.38,1.0
-2.55,3.12,1.0
-3.16,3.42,1.0
-5.55,-0.52,1.0
-5.19,-1.26,1.0
-4.58,-1.77,1.0
-3.55,-2.34,1.0
-1.81,-1.99,1.0
-1.29,0.13,1.0
-3.55,0.43,1.0
-2.52,-2.16,1.0
-1.45,-1.13,1.0
-1.19,-0.48,1.0
-1.84,3.25,1.0
-1.32,1.86,1.0
-0.87,1.21,1.0
-0.9,0.35,1.0
-2.68,3.9,1.0
-3.87,3.98,1.0
-4.06,-2.34,1.0
-4.74,3.51,1.0
-5.19,3.07,1.0
-3.0,-2.08,1.0
-3.29,4.33,1.0
-1.26,2.77,1.0
-0.71,2.16,1.0
-2.1,4.16,1.0
-1.35,3.64,1.0
2.42,2.29,2.0
2.65,1.21,2.0
3.23,1.69,2.0
4.03,1.13,2.0
4.1,-0.13,2.0
3.48,-0.95,2.0
2.23,-0.91,2.0
1.71,0.22,2.0
1.74,1.56,2.0
2.87,0.13,2.0
3.32,0.61,2.0
2.61,-1.69,2.0
1.35,-1.56,2.0
1.03,-0.65,2.0
1.03,0.56,2.0
1.13,1.47,2.0
0.58,1.56,2.0
0.48,0.74,2.0
0.65,-0.26,2.0
0.68,-0.78,2.0
1.06,-1.9,2.0
1.84,-2.42,2.0
2.81,-2.55,2.0
3.32,-2.12,2.0
4.23,-1.26,2.0
4.68,0.22,2.0
4.1,1.86,2.0
1.35,2.42,2.0
2.06,2.6,2.0
2.94,2.99,2.0
3.77,2.68,2.0
1.39,-1.0,2.0
2.19,0.43,2.0
2.26,1.17,2.0
1.52,3.16,2.0
2.55,3.51,2.0
5.13,1.9,2.0
5.26,-0.04,2.0
5.06,-1.56,2.0
4.39,-2.42,2.0
2.65,-3.03,2.0
1.87,-1.86,2.0
1.32,-2.77,2.0
3.0,-0.78,2.0
3.84,0.09,2.0
3.29,3.16,2.0
4.65,2.68,2.0
4.94,1.13,2.0
4.74,-0.65,2.0
3.68,-2.77,2.0
1.71,-0.3,2.0
0.94,2.6,2.0
3.45,3.72,2.0
2.03,-2.81,2.0
3.29,-3.2,2.0
1.65,-3.46,2.0
2.13,-3.42,2.0
3.19,2.25,2.0
