x1,x2,y
-4.39,4.72,0.0
-3.26,5.45,0.0
-3.03,4.2,0.0
-3.68,3.12,0.0
-4.9,2.51,0.0
-5.26,3.55,0.0
-5.16,5.8,0.0
-3.48,6.23,0.0
-1.39,5.89,0.0
-1.77,4.2,0.0
-1.87,2.29,0.0
-2.84,1.73,0.0
-4.42,1.6,0.0
-2.94,3.42,0.0
-6.48,4.59,0.0
-6.61,2.34,0.0
-6.26,0.52,0.0
-5.06,1.3,0.0
-1.87,7.4,0.0
-4.55,7.45,0.0
0.97,5.32,0.0
-0.23,3.98,0.0
-3.9,0.3,0.0
-5.23,-0.95,0.0
-1.32,-3.42,1.0
0.26,-2.64,1.0
1.29,-1.43,1.0
2.87,-0.91,1.0
3.58,-1.95,1.0
2.52,-3.59,1.0
1.1,-4.03,1.0
-0.58,-5.5,1.0
-3.19,-5.45,1.0
-1.87,-4.72,1.0
-0.68,-4.29,1.0
0.48,-3.94,1.0
-0.61,-2.29,1.0
-0.32,-1.17,1.0
1.74,-0.61,1.0
2.61,-2.21,1.0
3.1,-5.5,1.0
1.65,-6.36,1.0
1.61,-5.11,1.0
1.61,-2.34,1.0
-1.68,-6.54,1.0
-0.06,-6.36,1.0
-2.61,-3.77,1.0
1.81,-3.29,1.0
4.29,-3.77,1.0
2.26,-5.67,1.0
2.94,-4.24,1.0
0.71,-0.74,1.0
-5.81,-3.2,0.0
-5.1,-5.06,0.0
-5.16,-6.75,0.0
-5.55,-6.02,0.0
-5.35,-7.58,0.0
-4.84,-8.35,0.0
-4.26,-7.53,0.0
-5.77,-4.85,0.0
-5.97,-7.62,0.0
-6.03,-8.7,0.0
-6.42,-4.98,0.0
-6.16,-1.9,0.0
-6.77,-2.99,0.0
-7.26,-5.97,0.0
-7.29,-6.19,0.0
-7.32,-4.16,0.0
-6.68,-1.69,0.0
-6.97,-0.3,0.0
-7.94,-4.24,0.0
2.58,4.33,0.0
4.42,3.55,0.0
5.48,2.77,0.0
6.97,1.39,0.0
3.45,4.98,0.0
2.23,6.28,0.0
0.48,7.1,0.0
1.16,3.85,0.0
2.16,2.68,0.0
3.19,1.99,0.0
4.23,1.52,0.0
6.35,0.43,0.0
3.94,2.42,0.0
6.48,1.34,0.0
3.55,5.37,0.0
3.19,6.49,0.0
5.94,4.24,0.0
6.97,3.51,0.0
7.26,2.38,0.0
6.68,2.25,0.0
-4.94,-9.22,0.0
-6.48,-6.75,0.0
7.94,0.17,0.0
8.19,1.0,0.0
5.03,4.63,0.0
4.23,5.15,0.0
-0.48,5.58,0.0
-4.74,-1.86,0.0
-5.03,-3.29,0.0
2.19,-8.7,1.0
1.68,-7.53,1.0
0.55,-6.58,1.0
2.87,-6.97,1.0
0.03,-2.38,1.0
-1.19,-1.65,1.0
-1.52,-0.65,1.0
-0.61,-0.61,1.0
-0.32,-0.35,1.0
-0.65,0.26,1.0
0.23,0.09,1.0
1.06,-0.56,1.0
-2.19,-1.99,1.0
-2.13,-2.94,1.0
-0.32,-3.29,1.0
-1.32,-5.32,1.0
-0.87,-7.19,1.0
0.26,-8.1,1.0
0.61,-5.15,1.0
-1.1,-7.92,1.0
-2.0,-7.71,1.0
-2.06,-5.45,1.0
1.97,-4.29,1.0
0.94,-2.16,1.0
3.26,-2.73,1.0
0.58,-1.39,1.0
-1.58,-5.63,1.0
-1.29,-3.59,1.0
-1.29,-2.68,1.0
-2.06,-0.09,1.0
-0.9,0.13,1.0
-2.32,-1.52,1.0
-3.35,-0.3,1.0
